Term (N-Gramm);S;tf;df;idf;tf-idf*;tf/S;df/S;(tf*df)/S^2
aberration;3479;238;42;1,91820513834969;456,532822927226;0,0684104627766599597585513078;0,0120724346076458752515090543;0,0008258808383500196349120882
absorb;3479;317;43;1,907985973168;604,831553494257;0,09111813739580339177924691;0,0123598735268755389479735556;0,0011262086542165984037101515
abut;3479;257;56;1,79326640174139;460,869465247537;0,0738718022420235699913768324;0,0160965794768611670020120724;0,0011890833358877033399014379
acceleration;3479;320;42;1,91820513834969;613,8256442719;0,0919804541534923828686404139;0,0120724346076458752515090543;0,0011104280179496062318145724
accelerometer;3479;259;35;1,99738638439731;517,323073558904;0,074446680080482897384305835;0,0100603621730382293762575453;0,0007489605641899687865624329
accept;3479;251;43;1,907985973168;478,904479265169;0,0721471687266455878125898247;0,0123598735268755389479735556;0,0008917298807834895877957351
access;3479;759;128;1,43424445909972;1088,59154445669;0,2181661396953147456165564817;0,0367921816613969531474561656;0,0080268082440357250471167662
accessory;3479;1357;51;1,83388425264965;2488,58093084558;0,3900546133946536361023282552;0,014659384880712848519689566;0,0057179607022498808396719578
accommodate;3479;385;139;1,39843962849349;538,399256969995;0,110663983903420523138832998;0,0399540097729232538085656798;0,0044214698943878852303241698
accumulate;3479;598;99;1,54581923415004;924,399902021723;0,1718884736993388904857717735;0,0284564530037367059499856281;0,0048913362737092699505867794
accumulation;3479;451;41;1,92867057202785;869,830427984562;0,1296349525725783271054900834;0,011784995688416211555044553;0,0015277473571358756571788139
achieve;3479;331;131;1,42418313309182;471,404617053394;0,0951422822650186835297499281;0,0376544984190859442368496694;0,0035825349171363746888178329
acquisition;3479;750;115;1,48075658839398;1110,56744129548;0,2155791894222477723483759701;0,0330554757114113250934176487;0,0071260726598328524921136064
action;3479;510;98;1,55022835305509;790,616460058098;0,1465938488071284851968956597;0,0281690140845070422535211268;0,0041294041917500981745604411
activate;3479;657;157;1,34555477633836;884,029488054299;0,1888473699338890485771773498;0,0451279103190572003449267031;0,0085222871743663640777858131
activation;3479;380;60;1,76330317836395;670,055207778299;0,1092267893072722046565104915;0,0172463351537798217878700776;0,0018837618161645105718282925
activity;3479;275;31;2,05009273491332;563,775502101162;0,0790457027881575165277378557;0,0089106064961195745903995401;0,000704345152754493536177026
actuate;3479;339;64;1,7352744547637;588,258040164895;0,0974417936188559931014659385;0,0183960908306984765737280828;0,0017925480861186500599292383
actuation;3479;248;42;1,91820513834969;475,714874310723;0,0712848519689565967231963208;0,0120724346076458752515090543;0,0008605817139109448296562936
actuator;3479;2045;194;1,25365269881736;2563,71976908151;0,5878125898246622592699051452;0,0557631503305547571141132509;0,0327782818125853631211157224
adapt;3479;1281;305;1,0571545894008;1354,21502902243;0,3682092555331991951710261569;0,0876688703650474274216728945;0,0322804894905506624107970618
adapter;3479;1076;50;1,84248442441157;1982,51324066685;0,3092842770911181373958033918;0,0143719459614831848232250647;0,0044450169170899416124720235
adaptor;3479;290;17;2,31100550736931;670,191597137101;0,0833572865766024719747053751;0,004886461626904282839896522;0,0004073221821794314525926966
addition;3479;262;90;1,58721191930826;415,849522858765;0,0753089968381718884736993389;0,0258695027306697326818051164;0,0019482062993490859334961025
address;3479;649;65;1,72854107210473;1121,82315579597;0,1865478585800517390054613395;0,0186835297499281402701925841;0,0034853724655657841435340578
adhesive;3479;643;120;1,46227318269996;940,241656476077;0,1848232250646737568266743317;0,0344926703075596435757401552;0,0063750465673356857772925898
adjacent;3479;1538;410;0,928670572027853;1428,29533977884;0,4420810577752227651624029894;0,1178499568841621155504455303;0,0520992335981147840519072221
adjust;3479;3508;577;0,780278615591858;2737,21738349624;1,0083357286576602471974705375;0,1658522563955159528600172463;0,1672347558020896702020524576
adjustable;3479;631;148;1,37119271335263;865,222602125511;0,1813739580339177924691003162;0,0425409600459902270767461914;0,0077158223021040049685044113
adjustment;3479;1823;259;1,12815466466634;2056,62595368673;0,524001149755676918654785858;0,074446680080482897384305835;0,0390101459576660885115232933
aerial;3479;216;17;2,31100550736931;499,177189591772;0,0620868065536073584363322794;0,004886461626904282839896522;0,0003033847977612317026207671
aircraft;3479;159;17;2,31100550736931;367,449875671721;0,0457027881575165277378557057;0,004886461626904282839896522;0,0002233249205742400033180647
alert;3479;145;28;2,09429639740537;303,672977623779;0,0416786432883012359873526876;0,0080482897384305835010060362;0,0003354417970889435491939854
algorithm;3479;514;123;1,45154931730819;746,09634909641;0,1477436044840471399827536648;0,0353549870652486346651336591;0,005223473225506696814567031
align;3479;1204;358;0,987571402103714;1189,03596813287;0,3460764587525150905432595573;0,1029031330842196033342914631;0,0356123518923254965261531824
alignment;3479;693;129;1,43086471844834;991,589249884699;0,1991951710261569416498993964;0,0370796205806266168439206669;0,0073860813631429277013041167
allow;3479;1247;483;0,857507297996077;1069,31160060111;0,358436332279390629491233113;0,1388329979879275653923541247;0,049762790598144775522927736
ambient;3479;426;75;1,66639316535589;709,883488441609;0,122448979591836734693877551;0,021557918942224777234837597;0,0026397451765989523144699098
amount;3479;2882;444;0,894071458632969;2576,71394378022;0,8283989652198907732106927278;0,1276228801379706812302385743;0,1057226618446770633243884941
amplifier;3479;347;40;1,93939443741963;672,96986978461;0,0997413049726933026731819488;0,0114975567691865478585800517;0,0011467813161562897691656447
amplify;3479;313;50;1,84248442441157;576,697624840821;0,0899683817188847369933889049;0,0143719459614831848232250647;0,0012930207203059030898733674
amplitude;3479;287;37;1,97325270468059;566,32352624333;0,0824949698189134808853118712;0,0106352400114975567691865479;0,0008773538037653920071159929
analog;3479;653;101;1,53713305496495;1003,74788489211;0,1876976142569703937913193446;0,0290313308421960333429146306;0,0054491115377849984975347093
analysis;3479;533;128;1,43424445909972;764,452296700151;0,1532049439494107502155791894;0,0367921816613969531474561656;0,0056367441292108583005444485
analyze;3479;805;185;1,27428270034457;1025,79757377738;0,2313883299798792756539235412;0,0531762000574877838459327393;0,012304352125978058636382827
angle;3479;4104;596;0,766208169007352;3144,51832560617;1,1796493245185398102903133084;0,1713135958608795630928427709;0,2020899676381286941457392158
angular;3479;526;98;1,55022835305509;815,420113706979;0,1511928715148031043403276804;0,0281690140845070422535211268;0,0042589541271775522349388079
annular;3479;222;53;1,8171785591468;403,41364013059;0,0638114400689853406151192872;0,0152342627191721759126185686;0,0009721202424996329556198109
antenna;3479;251;30;2,06433317402793;518,147626681009;0,0721471687266455878125898247;0,0086231675768899108939350388;0,0006221371261280159914853966
apart;3479;336;138;1,40157534234635;470,929315028374;0,0965794768611670020120724346;0,0396665708536935901121011785;0,0038309766619261414997602748
aperture;3479;2304;324;1,03090941854098;2375,21530031841;0,6622592699051451566542109802;0,0931302098304110376544984191;0,0616763447684009861327865357
apparatus;3479;8711;831;0,621853404963478;5416,96501063686;2,5038804254096004599022707675;0,2388617418798505317620005749;0,5980812398721983277317582661
apply;3479;1577;441;0,89701583927975;1414,59397854417;0,4532911756251796493245185398;0,1267605633802816901408450704;0,057459444797557983717192491
